Data,Novos casos,Leitos UTI ocupados,Leitos clínicos ocupados,Ativos,Suspeitos ativos,Novos curados,Novos testes,Novos óbitos
24/10/2020,19.0,10.428571428571429,16.857142857142858,79.71428571428571,90.42857142857143,14.857142857142858,144.28571428571428,1.0
25/10/2020,19.0,10.571428571428571,15.714285714285714,84.71428571428571,94.57142857142857,13.857142857142858,144.28571428571428,0.0
26/10/2020,22.0,10.428571428571429,14.857142857142858,88.14285714285714,90.85714285714286,18.428571428571427,141.14285714285714,1.0
27/10/2020,23.571428571428573,10.142857142857142,14.714285714285714,89.14285714285714,97.14285714285714,21.857142857142858,110.71428571428571,1.0
28/10/2020,21.285714285714285,9.857142857142858,14.0,89.28571428571429,95.85714285714286,20.285714285714285,92.28571428571429,0.0
29/10/2020,21.571428571428573,9.285714285714286,13.857142857142858,90.42857142857143,89.57142857142857,19.571428571428573,97.28571428571429,0.0
30/10/2020,24.285714285714285,8.857142857142858,13.285714285714286,90.28571428571429,78.85714285714286,23.571428571428573,109.0,0.0
31/10/2020,20.285714285714285,8.285714285714286,13.857142857142858,83.42857142857143,85.42857142857143,26.428571428571427,101.0,0.0
01/11/2020,23.714285714285715,7.714285714285714,14.857142857142858,76.85714285714286,92.14285714285714,29.571428571428573,105.85714285714286,0.0
02/11/2020,21.0,7.571428571428571,15.428571428571429,68.71428571428571,104.14285714285714,28.857142857142858,80.57142857142857,0.0
03/11/2020,20.857142857142858,8.857142857142858,15.714285714285714,63.0,107.85714285714286,26.428571428571427,77.14285714285714,0.0
04/11/2020,22.571428571428573,9.142857142857142,16.142857142857142,58.142857142857146,113.42857142857143,27.285714285714285,88.85714285714286,1.0
05/11/2020,21.857142857142858,10.714285714285714,15.714285714285714,52.285714285714285,124.14285714285714,27.571428571428573,85.14285714285714,0.0
06/11/2020,20.142857142857142,11.0,15.285714285714286,47.285714285714285,142.14285714285714,25.0,90.0,0.0
07/11/2020,17.428571428571427,11.0,14.142857142857142,45.42857142857143,149.85714285714286,19.0,91.14285714285714,1.0
08/11/2020,14.0,11.857142857142858,12.571428571428571,41.714285714285715,157.42857142857142,17.285714285714285,90.57142857142857,1.0
09/11/2020,12.428571428571429,11.428571428571429,12.0,39.0,179.14285714285714,14.714285714285714,105.42857142857143,0.0
10/11/2020,13.142857142857142,9.714285714285714,12.571428571428571,36.714285714285715,200.0,14.857142857142858,107.14285714285714,1.0
11/11/2020,14.285714285714286,9.428571428571429,13.142857142857142,34.857142857142854,221.0,15.714285714285714,110.0,0.0
12/11/2020,14.857142857142858,8.142857142857142,14.0,34.42857142857143,246.85714285714286,14.857142857142858,104.42857142857143,0.0
13/11/2020,17.142857142857142,7.857142857142857,15.142857142857142,33.57142857142857,271.14285714285717,17.571428571428573,101.28571428571429,0.0
14/11/2020,15.428571428571429,7.714285714285714,16.857142857142858,33.142857142857146,295.0,15.571428571428571,82.0,0.0
15/11/2020,19.0,6.571428571428571,18.428571428571427,33.285714285714285,308.7142857142857,18.714285714285715,93.28571428571429,0.0
16/11/2020,22.571428571428573,6.571428571428571,18.428571428571427,35.285714285714285,298.57142857142856,20.428571428571427,101.14285714285714,0.0
17/11/2020,21.857142857142858,6.714285714285714,17.142857142857142,37.42857142857143,281.85714285714283,19.714285714285715,119.57142857142857,0.0
18/11/2020,21.428571428571427,6.714285714285714,16.0,39.285714285714285,269.0,19.428571428571427,113.85714285714286,0.0
19/11/2020,21.0,6.714285714285714,14.285714285714286,41.285714285714285,252.0,18.857142857142858,116.71428571428571,0.0
20/11/2020,20.428571428571427,6.428571428571429,12.714285714285714,42.285714285714285,228.57142857142858,19.0,123.57142857142857,3.0
21/11/2020,21.0,6.0,11.714285714285714,42.57142857142857,201.85714285714286,20.142857142857142,133.14285714285714,0.0
22/11/2020,17.571428571428573,5.714285714285714,11.714285714285714,43.0,186.0,16.428571428571427,122.42857142857143,1.0
23/11/2020,16.714285714285715,5.571428571428571,12.142857142857142,42.42857142857143,171.0,16.285714285714285,119.14285714285714,2.0
24/11/2020,14.857142857142858,5.428571428571429,12.571428571428571,41.142857142857146,180.28571428571428,15.142857142857142,109.42857142857143,0.0
25/11/2020,14.285714285714286,5.285714285714286,13.142857142857142,39.142857142857146,193.42857142857142,15.428571428571429,111.42857142857143,0.0
26/11/2020,14.857142857142858,4.857142857142857,14.0,36.714285714285715,204.71428571428572,16.428571428571427,113.28571428571429,0.0
27/11/2020,18.142857142857142,4.714285714285714,15.0,38.142857142857146,207.0,16.0,142.28571428571428,1.0
28/11/2020,22.428571428571427,4.857142857142857,15.0,38.857142857142854,213.28571428571428,21.142857142857142,140.57142857142858,0.0
29/11/2020,23.571428571428573,5.285714285714286,14.285714285714286,40.42857142857143,219.0,21.571428571428573,137.57142857142858,0.0
30/11/2020,23.285714285714285,5.571428571428571,13.714285714285714,40.285714285714285,235.14285714285714,23.285714285714285,131.28571428571428,0.0
01/12/2020,26.857142857142858,5.285714285714286,13.714285714285714,43.57142857142857,230.0,23.428571428571427,138.28571428571428,0.0
02/12/2020,26.428571428571427,5.142857142857143,14.714285714285714,46.857142857142854,226.85714285714286,23.0,161.28571428571428,0.0
03/12/2020,27.142857142857142,4.857142857142857,16.142857142857142,49.42857142857143,230.14285714285714,24.428571428571427,156.0,0.0
04/12/2020,27.428571428571427,5.0,17.571428571428573,53.57142857142857,245.85714285714286,23.285714285714285,130.14285714285714,0.0
05/12/2020,28.142857142857142,5.0,18.571428571428573,55.857142857142854,251.42857142857142,25.857142857142858,136.42857142857142,0.0
06/12/2020,30.0,4.571428571428571,18.857142857142858,56.714285714285715,253.42857142857142,29.142857142857142,148.0,0.0
07/12/2020,28.571428571428573,4.428571428571429,19.142857142857142,56.42857142857143,254.57142857142858,28.857142857142858,134.28571428571428,0.0
08/12/2020,28.0,4.714285714285714,19.142857142857142,53.714285714285715,253.71428571428572,30.714285714285715,107.85714285714286,0.0
09/12/2020,28.571428571428573,5.142857142857143,18.571428571428573,52.142857142857146,254.28571428571428,30.142857142857142,88.42857142857143,0.0
10/12/2020,31.0,6.142857142857143,18.0,52.57142857142857,238.57142857142858,30.571428571428573,102.0,0.0
11/12/2020,30.285714285714285,6.857142857142857,17.0,50.42857142857143,238.57142857142858,32.285714285714285,89.57142857142857,1.0
12/12/2020,24.714285714285715,7.571428571428571,16.857142857142858,51.57142857142857,248.0,23.428571428571427,75.42857142857143,0.0
13/12/2020,22.285714285714285,8.428571428571429,17.428571428571427,49.42857142857143,261.0,24.285714285714285,64.28571428571429,0.0
14/12/2020,19.428571428571427,9.0,18.0,49.142857142857146,273.0,19.571428571428573,61.42857142857143,0.0
15/12/2020,21.714285714285715,9.142857142857142,19.0,48.42857142857143,311.2857142857143,22.142857142857142,74.85714285714286,1.0
16/12/2020,23.571428571428573,9.142857142857142,18.714285714285715,47.285714285714285,334.7142857142857,24.428571428571427,76.71428571428571,0.0
17/12/2020,26.857142857142858,8.857142857142858,17.857142857142858,45.42857142857143,366.85714285714283,28.428571428571427,67.57142857142857,0.0
18/12/2020,30.142857142857142,8.857142857142858,17.428571428571427,42.57142857142857,390.57142857142856,32.857142857142854,71.0,0.0
19/12/2020,30.142857142857142,8.857142857142858,17.0,39.714285714285715,414.2857142857143,32.857142857142854,71.0,0.0
20/12/2020,33.285714285714285,8.857142857142858,16.714285714285715,39.42857142857143,426.7142857142857,33.0,90.57142857142857,0.0
21/12/2020,40.42857142857143,8.857142857142858,17.0,44.0,440.57142857142856,35.57142857142857,114.57142857142857,2.0
22/12/2020,39.0,9.142857142857142,16.428571428571427,47.57142857142857,437.57142857142856,35.0,109.85714285714286,0.0
23/12/2020,34.142857142857146,9.285714285714286,16.571428571428573,50.857142857142854,436.14285714285717,30.428571428571427,91.14285714285714,0.0
24/12/2020,40.42857142857143,9.571428571428571,16.571428571428573,55.0,430.57142857142856,35.714285714285715,117.71428571428571,1.0
